         4535 function calls (4405 primitive calls) in 0.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.072    0.072 import-gvt-procedure.py:103(_handle)
        1    0.000    0.000    0.033    0.033 manager.py:126(manager_method)
        1    0.000    0.000    0.033    0.033 query.py:396(get_or_create)
        1    0.000    0.000    0.033    0.033 query.py:320(get)
   150/53    0.000    0.000    0.031    0.001 {len}
        1    0.000    0.000    0.031    0.031 query.py:143(__len__)
        1    0.000    0.000    0.031    0.031 query.py:963(_fetch_all)
        2    0.000    0.000    0.031    0.016 query.py:229(iterator)
        1    0.000    0.000    0.026    0.026 compiler.py:813(execute_sql)
        4    0.000    0.000    0.021    0.005 base.py:156(cursor)
        4    0.000    0.000    0.021    0.005 base.py:134(_cursor)
     11/9    0.000    0.000    0.021    0.002 base.py:124(ensure_connection)
        1    0.000    0.000    0.021    0.021 base.py:106(connect)
        1    0.001    0.001    0.018    0.018 base.py:175(get_new_connection)
        1    0.000    0.000    0.017    0.017 __init__.py:102(connect)
        1    0.017    0.017    0.017    0.017 {psycopg2._psycopg._connect}
        3    0.000    0.000    0.014    0.005 __init__.py:332(decorated_function)
        1    0.000    0.000    0.010    0.010 utils.py:50(callproc)
        1    0.010    0.010    0.010    0.010 {method 'callproc' of 'psycopg2.extensions.cursor' objects}
        3    0.000    0.000    0.008    0.003 __init__.py:187(make_cache_key)
        3    0.000    0.000    0.007    0.002 __init__.py:139(_memoize_version)
        5    0.007    0.001    0.007    0.001 {method 'execute' of 'psycopg2.extensions.cursor' objects}
        6    0.000    0.000    0.006    0.001 locmem.py:45(get)
        3    0.000    0.000    0.005    0.002 utils.py:76(execute)
        3    0.000    0.000    0.005    0.002 utils.py:58(execute)
        1    0.000    0.000    0.005    0.005 query.py:233(get_compiler)
        3    0.000    0.000    0.005    0.002 __init__.py:117(get_many)
       11    0.002    0.000    0.004    0.000 base.py:209(validate_key)
        2    0.000    0.000    0.004    0.002 __init__.py:20(import_module)
      4/3    0.003    0.001    0.004    0.001 {__import__}
        5    0.000    0.000    0.003    0.001 locmem.py:72(set)
        3    0.000    0.000    0.003    0.001 __init__.py:93(get)
        2    0.003    0.002    0.003    0.002 {open}
        6    0.001    0.000    0.003    0.001 base.py:388(__init__)
       16    0.000    0.000    0.003    0.000 contextlib.py:15(__enter__)
        3    0.000    0.000    0.003    0.001 base.py:135(get_many)
        1    0.000    0.000    0.002    0.002 import-gvt-procedure.py:72(fetch_namedtuple_columns)
        1    0.001    0.001    0.002    0.002 collections.py:288(namedtuple)
        1    0.000    0.000    0.002    0.002 operations.py:302(compiler)
       13    0.000    0.000    0.002    0.000 dispatcher.py:178(send)
        1    0.000    0.000    0.002    0.002 compiler.py:21(__init__)
        1    0.000    0.000    0.002    0.002 re.py:188(compile)
        1    0.000    0.000    0.002    0.002 re.py:226(_compile)
        1    0.000    0.000    0.002    0.002 sre_compile.py:493(compile)
      817    0.002    0.000    0.002    0.000 {ord}
       20    0.000    0.000    0.002    0.000 synch.py:84(writer)
        3    0.000    0.000    0.002    0.001 __init__.py:97(set)
       11    0.000    0.000    0.002    0.000 __init__.py:130(__getattr__)
       12    0.000    0.000    0.002    0.000 synch.py:52(reader)
       11    0.000    0.000    0.002    0.000 __init__.py:100(__getitem__)
       28    0.000    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 apps.py:51(__call__)
        1    0.000    0.000    0.002    0.002 __init__.py:65(_create_cache)
        1    0.000    0.000    0.002    0.002 apps.py:73(register_hstore_handler)
        2    0.000    0.000    0.002    0.001 transaction.py:143(__enter__)
        1    0.000    0.000    0.002    0.002 extras.py:740(register_hstore)
        1    0.000    0.000    0.002    0.002 compiler.py:362(as_sql)
        1    0.000    0.000    0.002    0.002 extras.py:708(get_oids)
        2    0.000    0.000    0.002    0.001 __init__.py:129(set_many)
        1    0.000    0.000    0.001    0.001 base.py:226(savepoint)
        2    0.000    0.000    0.001    0.001 base.py:184(set_many)
        6    0.000    0.000    0.001    0.000 synch.py:35(reader_enters)
        1    0.000    0.000    0.001    0.001 base.py:208(_savepoint)
        1    0.000    0.000    0.001    0.001 module_loading.py:15(import_string)
       14    0.000    0.000    0.001    0.000 {all}
        2    0.000    0.000    0.001    0.001 transaction.py:196(__exit__)
       10    0.000    0.000    0.001    0.000 synch.py:60(writer_enters)
       16    0.000    0.000    0.001    0.000 contextlib.py:21(__exit__)
        1    0.000    0.000    0.001    0.001 query.py:674(filter)
        1    0.000    0.000    0.001    0.001 query.py:688(_filter_or_exclude)
        1    0.000    0.000    0.001    0.001 sre_compile.py:478(_code)
        1    0.000    0.000    0.001    0.001 sre_parse.py:675(parse)
       16    0.000    0.000    0.001    0.000 threading.py:478(release)
      4/1    0.000    0.000    0.001    0.001 sre_parse.py:301(_parse_sub)
        1    0.000    0.000    0.001    0.001 util.py:7(is_valid_cpf_number)
      5/1    0.000    0.000    0.001    0.001 sre_parse.py:379(_parse)
      180    0.001    0.000    0.001    0.000 collections.py:329(<genexpr>)
       32    0.000    0.000    0.001    0.000 threading.py:214(__exit__)
        1    0.000    0.000    0.001    0.001 base.py:195(init_connection_state)
     10/8    0.000    0.000    0.001    0.000 compiler.py:352(compile)
        1    0.000    0.000    0.001    0.001 compiler.py:42(pre_sql_setup)
        1    0.000    0.000    0.001    0.001 locmem.py:1(<module>)
        1    0.000    0.000    0.001    0.001 compiler.py:36(setup_query)
        1    0.000    0.000    0.001    0.001 query.py:1290(add_q)
        1    0.000    0.000    0.001    0.001 compiler.py:158(get_select)
    22/17    0.000    0.000    0.001    0.000 functional.py:57(__get__)
        1    0.000    0.000    0.001    0.001 query.py:1316(_add_q)
        1    0.000    0.000    0.001    0.001 util.py:18(normalize_text)
       32    0.001    0.000    0.001    0.000 threading.py:186(release)
        1    0.000    0.000    0.001    0.001 base.py:256(savepoint_commit)
        1    0.000    0.000    0.001    0.001 util.py:5(replace_diacritics)
        1    0.000    0.000    0.001    0.001 base.py:216(_savepoint_commit)
        1    0.000    0.000    0.001    0.001 query.py:1119(build_filter)
       10    0.000    0.000    0.001    0.000 synch.py:69(writer_leaves)
        6    0.000    0.000    0.001    0.000 util.py:22(as_digits)
       16    0.000    0.000    0.001    0.000 threading.py:439(acquire)
        6    0.000    0.000    0.001    0.000 inspect.py:804(getargspec)
      8/1    0.000    0.000    0.001    0.001 sre_compile.py:32(_compile)
        2    0.000    0.000    0.001    0.000 __init__.py:136(_memoize_make_version_hash)
       32    0.000    0.000    0.001    0.000 threading.py:146(acquire)
       81    0.000    0.000    0.001    0.000 util.py:11(<genexpr>)
      130    0.000    0.000    0.001    0.000 {isinstance}
        3    0.000    0.000    0.001    0.000 __init__.py:223(_memoize_kwargs_to_args)
        6    0.000    0.000    0.001    0.000 options.py:404(concrete_fields)
       39    0.000    0.000    0.000    0.000 __init__.py:788(get_default)
        2    0.000    0.000    0.000    0.000 query.py:939(_clone)
        3    0.000    0.000    0.000    0.000 __init__.py:34(function_namespace)
       57    0.000    0.000    0.000    0.000 util.py:23(<genexpr>)
        2    0.000    0.000    0.000    0.000 where.py:83(as_sql)
        1    0.000    0.000    0.000    0.000 base.py:167(commit)
        6    0.000    0.000    0.000    0.000 options.py:82(make_immutable_fields_list)
        1    0.000    0.000    0.000    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.000    0.000 forms.py:121(clean)
       41    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x919120}
        1    0.000    0.000    0.000    0.000 base.py:139(_commit)
        2    0.000    0.000    0.000    0.000 query.py:248(clone)
        2    0.000    0.000    0.000    0.000 compiler.py:788(results_iter)
        7    0.000    0.000    0.000    0.000 dispatcher.py:257(_live_receivers)
        1    0.000    0.000    0.000    0.000 {method 'commit' of 'psycopg2.extensions.connection' objects}
        6    0.000    0.000    0.000    0.000 datastructures.py:486(__new__)
        3    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 synch.py:7(<module>)
       16    0.000    0.000    0.000    0.000 threading.py:372(notify)
        1    0.000    0.000    0.000    0.000 forms.py:118(__init__)
     10/3    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.000    0.000 fields.py:212(__init__)
      167    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
      140    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 uuid.py:546(uuid4)
        1    0.000    0.000    0.000    0.000 compiler.py:483(get_default_columns)
        6    0.000    0.000    0.000    0.000 synch.py:44(reader_leaves)
